home gNB ID,gNB Numeric ID,Home Cell ID,Home Cell Global Cell ID,Neighbour Cell Info
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358515883
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358480045
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358480044
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358480043
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358509741
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358509740
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358509739
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358030509
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358030508
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358030507
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358020013
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358020012
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358020011
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358020269
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358020268
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358020267
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358043821
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358043819
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358043820
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358109869
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358109868
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358109867
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357783979
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357783981
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357783980
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358482091
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358482093
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358482092
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357841835
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357841837
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357841836
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358529709
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358529708
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358529707
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358527149
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358527148
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358527147
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358488237
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358488236
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358488235
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357785516
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357785515
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357785517
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358528173
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358528172
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358528171
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358079661
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358079660
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358079659
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358497709
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358497708
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358497707
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358107053
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358107052
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358107051
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358532525
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358532524
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358532523
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358470829
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358470828
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358470827
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358523565
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358523564
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358523563
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358505645
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358505644
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358505643
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358502573
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358502572
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358502571
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358473133
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358473132
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358473131
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358487725
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358487724
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358487723
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358511021
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358511020
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358511019
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358126253
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358126252
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358126251
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358520493
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358520492
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358520491
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358524845
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358524844
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358524843
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358477997
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358477996
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358477995
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358511789
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358511788
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358511787
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357834413
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357834412
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto357834411
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358435501
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358435500
5G-HPE001,1400512,5G-HPE001-35-MB,NR_634080,auto358435499
